Timestamp_ms,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyroX,IMU1_GyroY,IMU1_GyroZ,IMU1_AngleX,IMU1_AngleY,IMU1_AngleZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyroX,IMU2_GyroY,IMU2_GyroZ,IMU2_AngleX,IMU2_AngleY,IMU2_AngleZ,EMG1_RMS,EMG2_RMS,ADC1_Pressure,ADC2_Pressure
5100,0.092,-0.987,0.028,-0.011,0,0.011,-87.86,-5.45,-47.53,0,0.21,-0.98,0,0,0,167.61,-0.18,67.12,9.19,3.32,841,1648
5200,0.09,-0.986,0.026,0,0,0,-88.02,-5.54,-48.27,0,0.211,-0.98,0,0,0,167.6,-0.18,67.15,9.32,4.8,870,1576
5300,0.09,-0.986,0.025,0,0,0.012,-88.1,-5.56,-49.03,0,0.21,-0.979,0,0,0.01,167.59,-0.16,67.15,9.45,5.04,873,1576
5400,0.089,-0.986,0.024,0,0,0,-88.14,-5.54,-49.67,0,0.21,-0.98,0,0,0,167.59,-0.15,67.15,9.27,5.3,887,1565
5500,0.09,-0.987,0.022,0,0,0.011,-88.01,-5.33,-48.89,0,0.21,-0.98,0,0,0.01,167.61,-0.21,67.19,9.03,5.23,872,1572
5600,0.087,-0.987,0.023,0,0,0,-88.02,-5.29,-49.03,0,0.21,-0.98,0,0,0.01,167.63,-0.23,67.2,8.85,5.23,852,1602
5700,0.089,-0.988,0.025,0.011,0,0,-88.05,-5.3,-49.22,0,0.21,-0.98,0,0,0,167.62,-0.2,67.17,7.84,4.92,889,1676
5800,0.086,-0.991,0.014,0,0,0.018,-88.13,-5.24,-49.37,0.002,0.209,-0.98,0,0,0,167.63,-0.21,67.19,7.87,4.92,814,1262
5900,0.099,-0.982,0.028,0.094,-0.072,0,-87.8,-5.03,-48.13,0.002,0.21,-0.981,0.024,0,0,167.68,-0.23,67.25,7.92,5.36,552,1351
6000,0.086,-0.98,0.037,0.153,-0.046,0.099,-87.29,-4.91,-47.96,0,0.208,-0.98,0,0,0,167.75,-0.25,67.28,5.56,6.75,531,1748
6100,0.064,-0.985,0.063,0.292,-0.085,0.279,-84.99,-3.05,-44.25,0,0.207,-0.98,0,0,0.015,167.77,-0.22,67.22,4.67,6.63,546,2092
6200,0.012,-0.989,0.108,0.128,-0.07,0.294,-80.49,0.79,-34.98,-0.002,0.208,-0.984,0.02,-0.025,0.013,167.86,-0.13,67.12,4.16,6.63,820,2081
6300,-0.014,-0.985,0.129,0.109,0.042,0.25,-78.78,2.52,-30.34,-0.002,0.206,-0.981,0.015,-0.015,0.01,167.94,-0.08,67.1,3.9,8.6,1066,1765
6400,-0.03,-0.984,0.129,0.017,0.102,0.206,-77.84,3.87,-25.02,0,0.201,-0.979,0.017,-0.029,0,168.08,0,67.09,4.3,8.39,1371,1532
6500,-0.044,-0.991,0.129,-0.035,0.175,0.319,-77.92,4.88,-22.66,-0.007,0.2,-0.977,0,-0.055,0.01,168.11,0.21,67.04,4.8,8.81,1938,339
6600,-0.086,-1.027,0.101,-0.422,0.222,0.477,-79.55,7.26,-19.61,-0.013,0.205,-0.983,0,-0.074,0.01,168.07,0.59,66.94,7.91,8.87,2544,126
6700,-0.109,-1.047,0.051,-0.949,0.165,0.641,-83.86,8.93,-18.53,-0.022,0.203,-0.987,0.068,-0.109,-0.138,168.34,0.93,67.23,7.91,9.89,2152,124
6800,-0.048,-1.177,-0.006,-0.371,-0.188,1.355,-87.52,11.86,-18.22,-0.049,0.188,-0.976,-0.434,-0.191,-0.12,167.69,2.06,68.03,7.94,9.91,120,164
6900,-0.215,-1.127,0.208,-0.019,0.276,1.793,-87.05,16.33,-17.31,-0.092,0.174,-1.087,-1.708,-0.089,0.1,164.21,3.36,68.18,7.84,9.66,112,126
7000,0.02,-0.749,-0.04,-0.02,0.977,1.245,-86.36,24.91,-17.23,0.046,0.207,-1.712,-5.501,0.194,2.036,143.01,-2.33,63.11,7.48,8.79,121,124
7100,0.194,-0.617,-0.013,-0.092,-0.054,-0.771,-88.23,11.49,-18.72,-0.228,-0.163,-0.941,1.105,-0.181,-0.106,155.9,3.02,60.76,7.42,8.88,125,125
